D						
Sh	D	Sh				
D	H	Sh				
D	D	D	H			
Sh						
Sh						
H	Sh	H	H	Cx	Sh	H
H						
Sh	Sh	H				
Sh						
D	Ts	D	H			
Sh						
Sh	Sh	H	H	Sh		
H	H	H	H	H		
Sh	Sh					
D	D	H	Sh	H	H	
D						
Sh	Sh					
Sh						
Sh						
H						
H						
