Sh										
Sh	Sh	Sh								
Sh	Sh									
Sh										
Sh										
H	Sh									
Sh										
Sh	Sh									
Ts	Cx	Sh								
Cx	Sh									
Sh	Cx	Ha	Ha	Cx	Cx	Cx	Ha	Ts	Sh	Sh
Sh										
Sh										
Sh										
