D											
H	H	H	H								
H	U	Sh									
Cx	H	U									
Sh											
H	Cx										
H	H										
Sh											
H	U										
D											
Sh											
H	Cx	H	D	Cx	D	Cx	D	Cx	Ts		
Sh	F	U									
D	H	H									
H	Cx										
H	H										
Ha											
D	H										
H											
H											
Sh											
Sh	Cx										
U	D	Sh									
Sh											
H	H	Cx	Cx	Cx	D	D	H	D			
D	U	U									
H	H	H	D	Sh	U						
U	D	U	H								
D	U	H	H	D	Sh	D	Fs	H	H	H	Ha
H	H	H	Cx	D	H						
D											
U											
H	H	U									
D	Cx	Cx	H								
D	Cx										
Cx	Cx	U	Cx								
Cx	H										
H	H	D									
H	D	U									
Sh	Cx										
D	H	H	H	D	D	H	D				
D											
Cx											
Cx											
H	H	H	D	Sh							
H											
D	D	Cx									
D											
D	D										
D	D										
D											
H	D	D	U								
H											
Sh	H	D	U								
H	H	D	U								
U											
Cx	Cx	D	Cx	Cx	Cx	Cx	Cx	Cx			
D	D										
D	D	H									
Cx	H										
