Cx	H	Cx																		
Sh																				
H	H																			
H																				
Cx	Cx	Cx	Cx	Cx	Cx	Cx	Cx													
D	H																			
F																				
Cx	Cx	Cx	Cx	Cx	D	Cx	D	U												
U																				
Cx																				
Ts	H	Sh	D	D	Sh	H	U	Cx	Cx	Cx	Cx	D	D	Cx						
H	H	H	H																	
H																				
Sh	D	Sh	H	Cx	F	H	D	H	H	D										
D	H																			
Cx	Sh	H	Cx	H	Sh	Cx	H	H												
Sh																				
H																				
Sh																				
Cx	D	D	Cx	H	Cx	D	Sh	Cx	H	Cx										
D	Sh	H	U	F	Sh															
H	H	F	Cx	D	Cx	Cx	D	H	H	H	Cx	Cx	D	U	Cx	Cx	Cx			
D	Sh	D	H	D	Cx	Cx	Cx													
D	H																			
D	Sh																			
Sh																				
D	Cx	Cx	Cx	D	Cx	Cx	H	H	Cx	Cx	H	D	Cx	Cx	H	Cx				
Cx	U	Sh	Cx	Cx	Cx	Cx	Cx													
U																				
D	D	Cx	D	D	D	D	D	D	D	Cx	D	D								
F	D	H	Sh	Cx	D	D	D	D	D	Cx	D	Cx								
Cx																				
Cx	D	Cx	H	D	D	Cx	Cx	Cx												
H	Sh	H	H	Cx	H															
U	D	Sh	Cx																	
H	D	D	H																	
D																				
H	D	H	H	H																
Cx																				
D	D																			
F																				
Cx	Cx	H	Cx	Cx	Cx	D	Cx	Cx	Sh	Cx	Cx	U	D	Cx	Cx					
F																				
F																				
H	H																			
D	D																			
Cx	Cx	Sh	Cx	Cx	Sh	Cx	D	Cx	D											
H	D	H																		
D	F	D	Cx	Cx	H	Sh	D	Sh	D	Cx	Cx	U								
Sh	F																			
D	D	H	Cx	D	Sh	Cx	Cx	Cx	U	U	Cx	Cx								
H	H	D	Cx	H	Cx	D	D	D												
D	F	Cx	D	F	D	F	D	H	D	D	D	Cx	Sh							
H	H	H	H	Cx	Cx	D														
D																				
H	H																			
D	H	Sh	H	Sh																
H	H	H	H	Cx	D	Cx	Cx	D	Cx	Cx	Cx	D	H	H						
H	D	D	D	Cx	D	Cx	Cx	Sh	Cx	Cx	D	H	D	Sh	D	Cx	Cx	U	D	D
H	Cx	Cx	D	Cx	Cx	Cx	Cx	Cx	D											
F	H	H	D																	
F	H	D	F	D	Cx	D	D	U	Cx											
Cx	D	H	Cx	D																
H	F	D																		
Cx	Cx	Sh	Cx	U	Cx	H	Ts	Cx	H	Cx	Fs	D	Cx							
Sh																				
H																				
H																				
H	D	Sh	Cx	Cx																
D																				
D	Cx	Cx	Cx	D	D	D	D	D	D	D	Cx									
Sh	Cx	D	Sh	Cx	Cx	U	Cx	Cx												
D	D	D	D	D	D	D	D	D												
H																				
D	F	Sh																		
Sh																				
D	D	H	Cx	H	D															
