D	H						
Cx	H	Cx	Cx				
Cx	H	Cx					
Cx	Cx						
Cx							
Cx	Ts	Fs					
Ts	Ts	Ts	Cx				
Cx	H	D					
H							
F							
Cx	Cx	Cx					
Ts							
D	Ts	Cx	Cx	Cx	Cx	Cx	Cx
Sh							
