Sh	Sh			
Sh				
H				
Sh	Cx	H	Cx	Sh
Sh	Cx	Sh	Cx	Sh
Cx	Cx	H		
H	H			
Cx	H	H		
Sh				
Sh	Sh	H		
Sh				
Sh				
Sh	F	Sh	Cx	
Sh				
H	Cx			
Sh	Sh	H		
Sh				
H				
D				
Sh				
Cx				
F	Cx			
Sh	Cx	Cx	Cx	Cx
Cx	Cx			
H	Cx	Ts		
Cx	Sh	Cx		
