Ts	Cx	Cx																												
Cx	Ts																													
Cx	Cx	F	Sh	Cx																										
H	Cx	H	Cx																											
Ts																														
Cx																														
Ts	Ts																													
H	Ts	Cx	Cx																											
Cx	Cx	Cx	Cx																											
Cx	Cx																													
Fs	Cx																													
F	Cx	H	H																											
H																														
H	Sh	Sh	H	Cx	Cx																									
Cx																														
F																														
Sh																														
Cx																														
D	Sh																													
Cx	Cx																													
H																														
Cx																														
Cx																														
Cx	F	Ts	H	Cx	Cx																									
H	Cx	H	H	D	Cx																									
Cx																														
Ts	Ts	D	Cx																											
Cx																														
D	H	F	H	H	D	Cx	Cx	Cx	Sh																					
Cx	H																													
Sh																														
H																														
H																														
Cx	H																													
Cx	Sh	Cx	H	Fs	Ts	H	Cx	Fs	Cx	Cx																				
Cx																														
Cx																														
Ts	F																													
H	Cx																													
H																														
H																														
Cx																														
Cx	H	H	H	H	F	Sh	Sh	H	F	Cx																				
Sh																														
Cx	H																													
F	Cx	Sh																												
H																														
H																														
H																														
Cx	Fs	Cx	Cx	Cx																										
H																														
H	Cx	Cx																												
Sh	D	Ts	Fs	Cx	Cx	H	Ts																							
F																														
Cx	Fs	Ts	H	Cx	Cx	Cx	F	Fs																						
Cx																														
F	Cx	Cx																												
Cx																														
H																														
H	H	H																												
H	H																													
H	Cx	Cx	Cx	Cx																										
Cx	Cx																													
Cx																														
Cx	Cx																													
H																														
Cx																														
Cx	Cx	Fs	Cx	Fs	Ts	Cx																								
H																														
H	H																													
H																														
Cx																														
Cx	Cx																													
Cx	Cx	H	Cx	Cx	Fs	Ha	Ts	Sh	F	C	Ha	Ha	Ha	Fs	Ha	Ha	D	Ha	F											
H	H																													
Cx	Cx	Sh																												
Cx	Ts	H	Fs	F																										
Sh																														
Fs	Cx	Cx	Cx	Ts	F																									
H																														
Cx																														
Cx	Cx	Cx	Cx																											
Cx																														
F																														
F	Ts	Cx	Cx	Cx																										
F																														
Cx	H	Cx	Fs	Fs	Cx	C	C	C																						
H	Sh																													
D	Sh																													
Cx	Cx	Cx																												
Cx																														
Cx	Cx	Ts	Fs	Fs	Cx	Fs	Cx	Ha	Ha	C	Cx	Ha	H	Ha	Ha	C														
Cx																														
Cx																														
Cx	Sh	Cx	Fs	Ha	Ts	Fs	Cx	Fs	Ha	Fs	Cx																			
Cx																														
Cx	Cx																													
Cx																														
Cx																														
Ts																														
Ts	D	Ts	Ts	Ts	Ts	Ts	Sh	H	F	Cx	D	H	F	Ts	Ts	Ha	Sh	C	Fs	Fs	Ts									
Ts	Cx	F	Fs	C	Fs	H	Ts	Sh	Cx																					
F	F																													
Ts	H	Cx	F	Cx	F																									
Cx	Cx																													
Ts	Ts	H	Fs	Cx																										
H	F	Sh	F	D	Ts	Ts	F	Sh																						
H	F	U	Ts	Ts	Ts	Cx	Ts	Cx	F	F																				
H	Cx	Cx																												
Ts																														
Cx	Cx	Cx																												
Sh	Cx	H	Cx	H																										
Cx	Cx	Ts	Ts	Fs	Cx	Cx	Fs	Cx	Cx	Cx	H	H	Cx																	
U																														
C	H	Ts	Fs	Cx																										
Cx	Fs																													
Ts																														
Ts	Ts																													
H	Cx																													
F	Cx	Fs	H																											
Ts	Cx	Ts	H	Fs	Ts																									
Cx																														
Cx																														
F	H	H	D	Ts	H	Ts	F	H	Cx	Fs	Fs	Fs																		
Fs	H	H	Sh	Cx	Cx	Fs	Cx	D	Ts	Ts	Cx	D	Fs	Ts	Ts	Ts														
H	Ts	Ts	H	H	Fs	Ts	Fs																							
F	Ts	Ts	Cx	Fs	H	Fs																								
Cx	Ts	Ts	Ts	H	H	Ts	Ts	Ts	F	Ts	Ts	Ts	Fs	Ts																
H	H																													
Ts																														
Cx																														
Ts	Ts																													
Fs																														
Cx																														
Sh	F	Ts	Fs	Fs	Cx	Ts	Ts	Ha	H	Ha	Ha	F	Ha	F	Ha	H	D	Ha	Ha	Ha	Cx	C	F	Sh	Ha	F	C	Ha	F	Cx
C	C	Ha	Ha	Ha	Ha	Ha	Ha	Ha																						
Ts																														
F																														
Cx																														
Cx																														
D																														
Ts	Cx																													
H																														
Cx	H	F																												
Ts	Fs	D	Ts	C																										
H	Cx	Cx	Cx																											
Sh	Cx	Cx	Cx	Cx	Cx	Cx	Ts	Cx	Sh	Fs	F	Cx	Cx	Cx	F	Sh	Fs													
H	H																													
F	Fs	Cx																												
Cx	Cx	Cx	H	H	Sh	Cx	Fs	Fs	Fs	Fs	Fs	Fs	Ha	Ha	Ha	Sh	C	Sh	C	Sh	C	C								
Ts	F	Fs	C	Ha	Fs																									
C	C	C	C																											
Fs	Fs																													
Fs	Fs	Fs																												
F	F	H	H																											
F	F	F																												
F	Sh	F	F	C	Fs	C	Cx	C	Cx	Fs	Ts	F																		
Ts	Cx	F	F	F	Sh																									
Cx	Sh	F	Sh	Cx	Ts	Cx																								
Cx																														
F																														
F																														
H																														
H																														
Sh	Ts	Sh																												
Cx																														
Cx																														
Cx																														
Cx	Ts																													
F																														
F	Cx	F																												
