H														
F														
F	Sh													
Cx														
Sh	Sh	Sh	Sh	Ts	Cx	Fs	Cx	H	Cx	Cx	Fs	Cx		
F														
Ts	Cx	Cx	H	U	Cx	Fs	Cx	H	H	Cx	Cx	Cx	Cx	Cx
Cx	D	Cx												
Cx														
Sh	Cx	Cx												
Cx	Ts	Cx												
Cx														
D	Cx	Cx												
H	D	Cx												
Cx	Cx													
Cx														
H	Cx													
F														
